,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region,Unnamed: 21,Unnamed: 22,lon_fix,lat_fix
96,4.768.234.155.058.860,9.147.453.439.327.700,"1,61894E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,Vater mit Kind radeln parallel durch die Engstelle .... das war richtig knapp.\n,0,Konstanz,,,9.14745,47.68234
97,47.679.583.047.138.500,9.156.048.390.165.840,"1,61894E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,ist zwar rechts vor links aber aus der Unterführung kommend hat das Rad meine Seite geschnitten,0,Konstanz,,,9.15604,47.67958
98,476.745.713.837.958,917.105.309.095.429,"1,61798E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,An der Stelle schneiden die Pkw oft die Mittellinie .... hier steht man als Linksabbieger zum Radweg will,0,Konstanz,,,9.17105,47.67457
99,4.768.222.327.878.150,9.147.708.004.186.690,"1,61798E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,Mutter mit Anhänger mitten auf dem Weg. Diese Stelle ist viel zu eng ....,0,Konstanz,,,9.1477,47.68222
100,4.768.498.267.770.570,916.496.288.850.808,"1,61727E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.16496,47.68498
101,4.767.514.042.244.940,9.198.657.984.697.190,"1,61755E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.19865,47.67514
102,4.767.378.035.145.950,9.200.002.150.142.540,"1,61755E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.2,47.67378
103,4.767.403.257.518.510,9.199.710.226.520.150,"1,61736E+12",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.19971,47.67403
104,4.766.977.939.283.890,9.209.877.980.594.770,"1,61735E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20987,47.66977
105,4.768.230.172.496.350,9.147.484.247.216.210,"1,61881E+12",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,Joggerin mit Kinderwagen kommt mir direkt entgegen. ,0,Konstanz,,,9.14748,47.6823
106,47.674.539.708.560.300,9.202.920.670.368.100,"1,61884E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20292,47.67453
107,4.773.435.434.917.500,9.130.506.848.284.740,"1,61901E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.1305,47.73435
108,476.734.527.709.227,9.202.547.581.440.720,"1,61901E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20254,47.67345
109,476.742.463.539.541,91.993.647.632.534,"1,61875E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.19936,47.67424
110,47.673.593.149.185.700,9.200.611.796.757.120,"1,61755E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20061,47.67359
111,4.771.582.951.695.790,9.170.743.398.045.620,"1,61798E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.17074,47.71582
112,4.767.363.046.843.680,9.202.821.589.624.440,"1,61763E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20282,47.67363
113,47.665.995.332.724.200,9.172.738.394.655.670,"1,61882E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Durch die Baustelle sehr eng mit Gegenverkehr und Bauzaun! ,0,Konstanz,,,9.17273,47.66599
114,4.767.342.213.635.100,920.216.626.914.292,"1,61693E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20216,47.67342
115,4.768.071.499.983.370,9.181.691.825.172.150,"1,6178E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18169,47.68071
116,47.682.481.416.070.900,9.174.792.028.580.420,"1,6178E+12",0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.17479,47.68248
117,4.767.354.476.254.230,920.268.694.721.829,"1,61893E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20268,47.67354
118,4.769.554.642.296.770,9.161.981.430.342.200,"1,61806E+12",0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.16198,47.69554
119,47.683.403.879.739.500,9.173.066.060.463.930,"1,61806E+12",0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.17306,47.6834
120,4.768.188.894.841.770,917.880.396.646.772,"1,61806E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,PKW fährt trotz anhaltepflicht\n weiter und drängt mich an den Gehweg fährt mit hoher Geschwindigkeit und nur ca 30 cm seitlichem Abstand an mir vorbei,0,Konstanz,,,9.1788,47.68188
121,47.679.964,9.148.567,"1,61859E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.14856,47.67996
122,47.679.251,9.150.790,"1,61859E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15079,47.67925
123,47.678.044,9.154.582,"1,61859E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.15458,47.67804
124,47.676.772,9.158.709,"1,61859E+12",2,0,0,0,6,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.1587,47.67677
125,4.768.236.801.959.570,9.147.524.647.414.680,"1,6312E+12",,0,0,,4,0,1,0,0,0,0,0,0,0,0,radweg eng  wenn unbedarfte touristen engegenkommen,0,Konstanz,,,9.14752,47.68236
126,4.767.646.125.052.120,9.159.982.586.279.510,"1,63066E+12",,0,0,,8,0,0,0,0,0,0,1,0,0,0,vorfahrt missachtet,0,Konstanz,,,9.15998,47.67646
127,47.764.524,8.847.832,"1,65383E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.84783,47.76452
128,47.662.100,9.170.748,"1,65349E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17074,47.6621
129,47.658.464,9.171.228,"1,65349E+12",2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.17122,47.65846
130,47.658.410,9.172.588,"1,65349E+12",2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.17258,47.65841
131,47.679.413,9.150.592,"1,65245E+12",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,Konstanz,,,9.15059,47.67941
132,47.678.160,9.154.471,"1,65245E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15447,47.67816
133,47.677.585,9.156.383,"1,65245E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15638,47.67758
134,47.677.434,9.156.935,"1,65245E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.15693,47.67743
135,47.677.031,9.157.976,"1,65245E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15797,47.67703
136,47.676.695,9.159.058,"1,65245E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.15905,47.67669
137,47.678.967,9.151.978,"1,65168E+12",2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,Wohnmobil blockiert Radfahrer Schutzstreifen zu 2/3,0,Konstanz,,,9.15197,47.67896
138,47.678.809,9.152.428,"1,65168E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,ca. 70 cm,0,Konstanz,,,9.15242,47.6788
139,47.678.278,9.154.037,"1,65168E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15403,47.67827
140,47.678.073,9.154.704,"1,65168E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1547,47.67807
141,47.677.731,9.155.768,"1,65168E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.15576,47.67773
142,47.677.163,9.157.463,"1,65168E+12",2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15746,47.67716
143,47.677.019,9.157.983,"1,65168E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15798,47.67701
144,47.678.734,9.152.674,"1,65402E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15267,47.67873
145,47.677.893,9.155.304,"1,65402E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1553,47.67789
146,47.676.756,9.158.920,"1,65402E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.15892,47.67675
147,47.697.874,9.066.723,"1,65358E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.06672,47.69787
148,47.659.059,9.170.533,"1,65315E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17053,47.65905
149,47.657.052,9.172.001,"1,65315E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.172,47.65705
150,47.665.262,9.207.854,"1,65315E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.20785,47.66526
151,47.674.319,9.183.082,"1,65315E+12",2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.18308,47.67431
152,47.717.141,9.063.949,"1,65384E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.06394,47.71714
153,47.669.386,9.174.599,"1,6535E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.17459,47.66938
154,47.673.353,9.183.986,"1,6535E+12",2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18398,47.67335
155,47.752.724,8.934.671,"1,66506E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.93467,47.75272
156,47.753.840,8.937.995,"1,66506E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,8.93799,47.75384
157,47.676.951,9.147.671,"1,66541E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.14767,47.67695
158,47.745.996,8.983.415,"1,66506E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.98341,47.74599
159,47.745.604,8.982.973,"1,66506E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,8.98297,47.7456
160,47.739.529,8.976.249,"1,66506E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.97624,47.73952
161,47.713.299,9.075.542,"1,6648E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.07554,47.71329
162,47.712.434,9.079.181,"1,6648E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.07918,47.71243
163,47.673.510,9.183.950,"1,6648E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.18395,47.67351
164,47.676.437,9.160.367,"1,66452E+12",2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.16036,47.67643
165,47.678.260,9.154.324,"1,66452E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.15432,47.67826
166,47.672.583,9.157.767,"1,66541E+12",2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15776,47.67258
167,47.673.854,9.189.796,"1,66541E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,Gehweg war dirch Lieferwagen zugeparkt ,0,Konstanz,,,9.18979,47.67385
168,47.663.390,9.173.072,"1,66533E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17307,47.66339
169,47.658.214,9.173.289,"1,66533E+12",2,0,0,0,8,0,0,0,0,0,0,1,0,0,0,Halten auf Radstreifen,0,Konstanz,,,9.17328,47.65821
170,47.658.300,9.172.904,"1,66533E+12",2,0,0,0,6,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.1729,47.6583
171,47.712.448,9.079.269,"1,66479E+12",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.07926,47.71244
172,47.743.038,8.979.291,"1,6648E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"SUV, anschließend geschnitten, indem zum links abbiegen in Privatgrundstück nach rechts auf den Schutzstreifen ausgeholt. ",0,Konstanz,,,8.97929,47.74303
173,47.742.305,8.978.477,"1,6648E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,8.97847,47.7423
174,47.739.524,8.976.327,"1,6648E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.97632,47.73952
175,47.688.876,9.065.141,"1,66515E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.06514,47.68887
176,47.672.637,9.180.998,"1,66516E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.18099,47.67263
177,47.673.025,9.182.282,"1,66516E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.18228,47.67302
178,47.687.904,9.159.672,"1,66515E+12",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.15967,47.6879
179,47.691.560,9.138.681,"1,66515E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.13868,47.69156
180,47.691.107,9.137.144,"1,66515E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.13714,47.6911
181,47.705.833,9.043.935,"1,66515E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.04393,47.70583
182,4.766.882.935,91.743.754,"1,64821E+12",1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,PKW auf Fahrradbrücke,0,Konstanz,,,9.17437,47.66882
183,4.767.574.255,918.044.259,"1,64875E+12",1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,9.18044,47.67574
184,4.767.556.132,916.266.287,"1,6483E+12",1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16266,47.67556
185,4.767.295.365,917.117.547,"1,6483E+12",1,0,0,2,8,0,0,0,0,0,0,1,0,0,0,Schnell in 30er Zone,0,Konstanz,,,9.17117,47.67295
186,476.735.212,916.945.176,"1,6483E+12",1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.16945,47.67352
187,4.767.941.023,916.346.442,"1,64821E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,PKW blockieren vor Kita,0,Konstanz,,,9.16346,47.67941
188,4.767.921.279,916.395.949,"1,64821E+12",1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,,0,Konstanz,,,9.16395,47.67921
189,477.386.494,87.793.074,"1,6506E+12",1,0,0,4,8,0,0,0,0,0,0,1,0,0,0,Auto parkt auf Radweg\n,0,Konstanz,,,8.7793,47.73864
190,4.766.165.294,917.053.707,"1,64881E+12",1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17053,47.66165
191,4.773.969.928,87.814.375,"1,65062E+12",1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,Schilder und parkende Autos auf Radweg\n,0,Konstanz,,,8.78143,47.73969
192,4.767.923.651,916.907.663,"1,6488E+12",1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,rückwärts ,0,Konstanz,,,9.16907,47.67923
193,476.769.123,917.680.474,"1,64942E+12",1,0,0,2,6,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1768,47.67691
194,4.767.928.589,917.024.206,"1,64942E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17024,47.67928
195,4.767.938.653,916.337.438,"1,64942E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16337,47.67938
196,47.645.716,9.177.838,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17783,47.64571
197,47.644.833,9.179.491,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17949,47.64483
198,47.643.758,9.182.271,"1,66039E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.18227,47.64375
199,47.653.135,9.173.687,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17368,47.65313
200,47.658.389,9.171.254,"1,66039E+12",2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17125,47.65838
201,47.667.300,9.179.971,"1,66039E+12",2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,Absperrung ohne Ankündigung ,0,Konstanz,,,9.17997,47.6673
202,47.673.234,9.183.733,"1,66039E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.18373,47.67323
203,47.673.703,9.183.644,"1,66039E+12",2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18364,47.6737
204,47.667.575,9.173.703,"1,66015E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.1737,47.66757
205,47.668.773,9.193.080,"1,66024E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.19308,47.66877
206,47.669.182,9.191.370,"1,66024E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.19137,47.66918
207,47.674.333,9.183.075,"1,66024E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.18307,47.67433
208,47.677.526,9.144.903,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1449,47.67752
209,47.672.362,9.161.217,"1,66039E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16121,47.67236
210,47.678.559,9.153.223,"1,6643E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.15322,47.67855
211,47.677.776,9.155.665,"1,6643E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15566,47.67777
212,47.673.620,9.168.812,"1,6643E+12",2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16881,47.67362
213,47.674.382,9.170.905,"1,6643E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1709,47.67438
